content,original_id,from,date_created,sentiment,original_sentiment
'--> ? @kompascom: Ini Kata Jokowi Soal Buruh Outsourcing http://t.co/tcjelNA8ua','461829291202707456','taufiqpriyo','2014-05-01 18:27:38','Other','Other'
'--> @detikcom : Bertemu Buruh Perempuan  Jokowi: Semoga Saya Bisa Perjuangkan Hak Mereka http://t.co/iG2HO4oJuM','461717540490989568','Yoga_law','2014-05-01 11:03:34','Other','Possibly Positive'
'--> @detikcom : Buruh KSN: Jokowi  Ical dan Prabowo Tak Pro Buruh http://t.co/pFKNPG9FhI','461774353583984641','Yoga_law','2014-05-01 14:49:19','Other','Other'
'--> @detikcom : Hamzah Haz ke Jokowi  SDA Masih Ngotot ke Prabowo http://t.co/Gl6iEUYfxg','461628850418774016','Yoga_law','2014-05-01 05:11:09','Other','Other'
'--> @detikcom : Ini Kata Jokowi Soal Baju \'Jokowi-Ahok Jangan Dipisahkan\' http://t.co/20yjpNyf6q','461732595785412608','Yoga_law','2014-05-01 12:03:24','Other','Other'
'--> @detikcom : Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/nnJeeXjFUF','461910495348658177','Yoga_law','2014-05-01 23:50:18','Other','Possibly Positive'
'--> @detikcom : Jokowi Kenakan Kemeja Kotak-kotak Baru  untuk Pilpres? http://t.co/fyBmScTHJ8','461717521604046848','Yoga_law','2014-05-01 11:03:30','Question','Question'
'--> @detikcom : Jokowi: Daripada Demo  Lebih Baik Buruh Patungan Beli Ambulans http://t.co/GN4ERHm41V','461797231314477056','Yoga_law','2014-05-01 16:20:14','Other','Possibly Positive'
'--> @detikcom : PKB Merapat ke Jokowi  Bagaimana Nasib Pencapresan Prabowo? http://t.co/an2gxlVqZN','461732234576560128','Yoga_law','2014-05-01 12:01:57','Question','Question'
'--> @detikcom : PKB Merapat ke Jokowi  Gerindra Yakin Pencapresan Prabowo Tetap Aman http://t.co/aTdWMT0Ty5','461847822094983168','Yoga_law','2014-05-01 19:41:16','Other','Other'
'--> @detikcom : Puluhan Buruh Perempuan Geruduk Rumah Dinas Jokowi http://t.co/EiHZurUGsa','461705019189108736','Yoga_law','2014-05-01 10:13:49','Other','Other'
'--> @detikcom : Soal Kemeja Putih  Dahlan Iskan: Saya Bangga Ditiru Pak Jokowi http://t.co/knRUClKEOE','461815674017710080','Yoga_law','2014-05-01 17:33:31','Other','Other'
'- detikNews : Demo di Istana  Guru Honorer Minta Agar Jokowi atau Prabowo Jadi Presidennews.detik.comRibuan guru ... http://t.co/vqXzJmO8EQ','461817629100236800','guru_honorer','2014-05-01 17:41:17','Other','Other'
'-_- @detikcom: Demo di Istana  Guru Honorer Minta Agar Jokowi atau Prabowo Jadi Presiden http://t.co/qrTbv9Gdgg','461742988201185281','Ficrey','2014-05-01 12:44:41','Other','Other'
'-_- RT @detikcom: Ada Baju \'Galau\' Jokowi-Ahok Jangan Dipisahkan http://t.co/yr3aNBWmWF','461709557140828160','AnnisaDRahayu','2014-05-01 10:31:51','Other','Other'
'-_- RT @detikcom: Demo di Istana  Guru Honorer Minta Agar Jokowi atau Prabowo Jadi Presiden http://t.co/JY1G5BPnzV','461741291244507136','atikagrisna','2014-05-01 12:37:57','Other','Other'
'-_- RT @imandita: Jokowi ada gamenya juga http://t.co/Bl5O1W5lOk','461885407408316417','mayymayang','2014-05-01 22:10:37','Other','Other'
'-_- slh satu alasannya? RT @genthongifa: either Jokowi dan Prabowo  gasuka keduanya dengan berbagai alasan','461832364021129216','dine_cahya','2014-05-01 18:39:50','Other','Other'
'-_-@detikcom: Jokowi: Daripada Demo  Lebih Baik Buruh Patungan Beli Ambulans http://t.co/sftKMyceUx','461811211416256513','Nissalathifah','2014-05-01 17:15:47','Other','Possibly Positive'
'-_-RT @AstridAngElf: kalo boleh Pak Tirtho aja yg jadi pres :p @tirthoadji: spekulasi berdatangan utk capres 2014 apakah jokowi atau prabow','461826634593472512','tirthoadji','2014-05-01 18:17:04','Question','Question'
'-andika arya- Demo pakai topeng Jokowi  buruh sindir Megawati jual Indosat: MERDEKA.CO... http://t.co/9a7RPt2QXQ -andika arya-','461730227987546112','gede_mahesa','2014-05-01 11:53:59','Other','Other'
'-andika arya- GSPB Tidak Akan Pilih Jokowi: Jakarta (Antara) - Humas DPW Bekasi dari Gabungan So... http://t.co/jrSXJwCx8D -andika arya-','461884295594799104','gede_mahesa','2014-05-01 22:06:12','Other','Other'
'-andika arya- Jadi presiden  Jokowi janji ke petani selamatkan lahan pertanian: MERDEK... http://t.co/aicbjYf9tb -andika arya-','461772627900514305','gede_mahesa','2014-05-01 14:42:28','Other','Possibly Positive'
'-andika arya- Jokowi Berada Dalam Bayang-Bayang Megawati: Jakarta (Antara) - Pengamat politik da... http://t.co/q7sFJ3bbt7 -andika arya-','461884296655929344','gede_mahesa','2014-05-01 22:06:12','Other','Other'
'-andika arya- Jokowi tolak  Ical tak jawab  hanya Prabowo hadiri Hari Buruh: MERDEKA.C... http://t.co/O7UVT38vWX -andika arya-','461791838492323840','gede_mahesa','2014-05-01 15:58:48','Other','Other'
'-andika arya- Jokowi: Selamat Hari Buruh: Jakarta (Antara) - Gubernur DKI Jakarta Joko Widodo (J... http://t.co/NCUf80ghCg -andika arya-','461748925972484096','gede_mahesa','2014-05-01 13:08:17','Other','Possibly Positive'
'-andika arya- NasDem: Jokowi itu Produk Lokal: TEMPO.CO   Jakarta: Wakil Sekretaris Jenderal Par... http://t.co/QEgKJFGARP -andika arya-','461666375711211520','gede_mahesa','2014-05-01 07:40:15','Other','Other'
'-AutoUpdateTwitter- Bertemu Buruh Perempuan  Jokowi: Semoga Saya Bisa Perjuangkan Hak Mereka: Da... http://t.co/2b1VuDWqRy #CyberBotTeam','461722366674886656','twofacecyber48','2014-05-01 11:22:45','Other','Possibly Positive'
'-AutoUpdateTwitter- Demo di Istana  Guru Honorer Minta Agar Jokowi atau Prabowo Jadi Presiden: R... http://t.co/bC3EqDIOaT #CyberBotTeam','461740495102697472','twofacecyber48','2014-05-01 12:34:47','Other','Other'
'-AutoUpdateTwitter- May Day  Jokowi Blusukan Kunjungi Buruh Sakit di Jakut: Calon presiden PDIP ... http://t.co/87QhSJKmfp #CyberBotTeam','461770012902965248','roboteror','2014-05-01 14:32:05','Other','Other'
'-AutoUpdateTwitter- Puluhan Buruh Perempuan Geruduk Rumah Dinas Jokowi: Puluhan buruh perempuan ... http://t.co/5R1e5xyPk2 #CyberBotTeam','461700781465300993','twofacecyber48','2014-05-01 09:56:58','Other','Other'
'-DETIK- Bertemu Buruh Perempuan  Jokowi: Semoga Saya Bisa Perjuangkan Hak Mereka: Dalam peringatan hari buruh ... http://t.co/dWzmXZv4pP','461716223776935936','Yunus_DeLonge','2014-05-01 10:58:20','Other','Possibly Positive'
'-DETIK- Hamzah Haz ke Jokowi  SDA Masih Ngotot ke Prabowo: PPP terus menjalin komunikasi dengan semua ketum pa... http://t.co/StRCQn4oKe','461627433628606466','Yunus_DeLonge','2014-05-01 05:05:31','Other','Other'
'-DETIK- Ini Kata Jokowi Soal Baju \'Jokowi-Ahok Jangan Dipisahkan\': Kaos \'galau\' yang meminta Jokowi-Ahok tak d... http://t.co/P9uyB0wy7q','461730223344476160','Yunus_DeLonge','2014-05-01 11:53:58','Other','Other'
'-DETIK- Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan sedi... http://t.co/a8nw3mn9IX','461909533950889985','Yunus_DeLonge','2014-05-01 23:46:29','Other','Possibly Positive'
'-DETIK- Jokowi: Daripada Demo  Lebih Baik Buruh Patungan Beli Ambulans: Gubernur DKI Jokowi blusukan menengok ... http://t.co/Vd0Nfozmk8','461795511465291776','Yunus_DeLonge','2014-05-01 16:13:24','Other','Possibly Positive'
'-DETIK- PDIP  PKB dan NasDem Deal  PPP Menyusul?: Koalisi pendukung Jokowi semakin menguat. Setelah Partai Nas... http://t.co/DOTIo5pSOq','461679212751908865','Yunus_DeLonge','2014-05-01 08:31:16','Other','Other'
'-DETIK- PKB Merapat ke Jokowi  Gerindra Yakin Pencapresan Prabowo Tetap Aman: Di saat PDIP sudah memastikan du... http://t.co/nPNEjQFyYU','461846522930270209','Yunus_DeLonge','2014-05-01 19:36:06','Other','Other'
'-DETIK- Soal Kemeja Putih  Dahlan Iskan: Saya Bangga Ditiru Pak Jokowi: Kemeja putih kian populer di Pemilu 20... http://t.co/y1ecvXmgkn','461813588521279489','Yunus_DeLonge','2014-05-01 17:25:14','Other','Other'
'-menang.ga Info Diajak Rieke dukung Jokowi  buruh se-Jatim merasa ditipu: Itu (dukung Jokowi) merupakan kepen... http://t.co/hWZRsFBTXB','461842889891250176','milhamrk','2014-05-01 19:21:40','Other','Possibly Positive'
'-menang.ga Info Hari Buruh  rumah dan kantor Jokowi dijaga ketat: Sudah ada buruh yang datang ke rumah gubernu... http://t.co/IkdqA20cvj','461827452394696706','milhamrk','2014-05-01 18:20:19','Other','Possibly Positive'
'-NewsOnline- Bertemu Buruh Perempuan  Jokowi: Semoga Saya Bisa Perjuangkan Hak Mereka http://t.co/JG6rOkUCJj #bot','461714532499333120','Djava_J','2014-05-01 10:51:37','Other','Possibly Positive'
' @VIVAnews: Demo di Istana  Buruh Tolak Jokowi Jadi Presiden http://t.co/80BPnphoeA @liputan6dotcom @kompascom','461806392160944128','UntungTriana','2014-05-01 16:56:38','Other','Other'
' Antara Kepentingan JIL & Jokowi Vs Kepentingan Bangsa & Prabowo by @Hafidz_Ary http://t.co/VOFyXMaesv','461778061885595649','SutanPalimoRajo','2014-05-01 15:04:04','Other','Other'
' Dah saatnya kita dipimpin oleh yg mengerti penderitaan rakyat kaya jokowi yg kecilnya korban gusuran dan yg TEGAS untuk keutuhan NKRI !','461869664394428416','HogiLay','2014-05-01 21:08:03','Other','Other'
' Demo di Istana  Guru Honorer Minta Agar Jokowi atau Prabowo Jadi Presiden  Jakarta - Ribuan guru honorer... http://t.co/Iid7U5VV9C','461812801120370688','Habib35Nisa','2014-05-01 17:22:06','Other','Other'
' Gerakan Sadar Jokowi Penipu ...makin membahana saja...  dimana2   ....kemana2 jokowi selalu di HUJAT.','461789696155078658','agus_instrum','2014-05-01 15:50:17','Other','Possibly Negative'
' hmhmhm..hm Siapa meniru siapa?] @detikcom Soal Kemeja Putih  Dahlan Iskan: Saya Bangga Ditiru Pak Jokowi http://t.co/CUkp3RmFEU','461818388155621376','firda121198','2014-05-01 17:44:18','Other','Other'
' Hmm RT @VIVAnews:Demo di Istana  Buruh Tolak Jokowi Jadi Presiden http://t.co/9PuxBpFQAV@PKSBekasiTimur @PKS_Margahayu #rame2tolakJokowi','461806720163913728','fitrahram','2014-05-01 16:57:56','Other','Other'
' kemarin prabowo hadir ke rakernas FSPMI @Indopolitica: Demo di Istana  Buruh Tolak Jokowi Jadi Presiden http://t.co/F19zmTRzOt','461796555981201408','waraswasistoJab','2014-05-01 16:17:33','Other','Other'
' Relawan Jokowi Balik Arah Dukung Prabowo http://t.co/4pxnf8Fw1q@inilahdotcom','461774573894000640','zhdubai','2014-05-01 14:50:12','Other','Possibly Negative'
