"content","original_id","from","date_created","sentiment","original_sentiment"
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/fD8UOSqc7J","660770054737260545","Keylaputri88","2015-11-01 17:47:12","",""
"Begini Penampakan 'Peluru' yang Ditembakkan ke Kantor - Detikcom https://t.co/Y1lyRrTqlX top stories","660770054129209349","farkhan569","2015-11-01 17:47:12","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/Cx5Sn1lOQ3","660770051654418433","Beritaindo_1","2015-11-01 17:47:11","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/TP86I2VxTu #Indonesia","660770049255276545","seIndonesia","2015-11-01 17:47:10","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/7nC674JSu8","660770048810680320","AdheSSetya","2015-11-01 17:47:10","",""
"#BeritaUpdate Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Je... https://t.co/hkSTjaN3jr","660770047195873281","KabarIndo_","2015-11-01 17:47:10","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/UXBRgdyJnj https://t.co/SDZ9y3Bcrs","660770040090746880","RealSyhnazS","2015-11-01 17:47:08","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/7JdddK1zZp","660770030494216192","_wistu","2015-11-01 17:47:06","",""
"Polisi Sebut Penembakan Kantor Go-Jek Bentuk Teror https://t.co/5vhxkFJ7lc","660770024563478528","citra1012fm","2015-11-01 17:47:05","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror","660769996117688320","budikulestari","2015-11-01 17:46:58","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/PxqxY5mIbM","660769995182505984","alfahridho","2015-11-01 17:46:58","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/KnISqnvGB3","660769994599436288","MikaelNasar","2015-11-01 17:46:57","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/bsTklgleCd #news24jam","660769989033484288","News_24jam","2015-11-01 17:46:56","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror: Penembakan ke kantor pelatihan karyawan Go-Jek di Kemang sa... https://t.co/777EbdLAoV","660769969911652353","DeniFerdian313","2015-11-01 17:46:51","",""
"Polda Metro: Penembakan Kantor Go-Jek Upaya Teror https://t.co/ZCC3kDoHjI","660769941482659840","AnonymousHckd12","2015-11-01 17:46:45","",""
"Get lifestyle pros at your door step. Update your GO-JEK app,Enter: VST44 to get 20% off https://t.co/eKzSNEsCjJ #goglam #goclean #gomassage","660769935845527552","stellasyahlim","2015-11-01 17:46:43","",""
